cut_id,force_x_mean,force_x_max,force_x_std,force_x_min,force_x_peak2peak,force_x_rms,force_y_mean,force_y_max,force_y_std,force_y_min,force_y_peak2peak,force_y_rms,force_z_mean,force_z_max,force_z_std,force_z_min,force_z_peak2peak,force_z_rms,vib_x_mean,vib_x_max,vib_x_std,vib_x_min,vib_x_peak2peak,vib_x_rms,vib_y_mean,vib_y_max,vib_y_std,vib_y_min,vib_y_peak2peak,vib_y_rms,vib_z_mean,vib_z_max,vib_z_std,vib_z_min,vib_z_peak2peak,vib_z_rms,ae_rms_mean,ae_rms_max,ae_rms_std,ae_rms_min,ae_rms_peak2peak,ae_rms_rms,verschleiss
1,0.4008572987229099,3.744,0.8424709781714367,-2.501,6.245,0.9329728569808686,0.6294631041059977,10.724,1.6359635519650146,-12.051,22.775,1.7528775014122073,0.7051320418527618,4.56,1.1274905474639574,-3.243,7.802999999999999,1.3298256098802979,0.009306533018312546,0.33,0.07634965730909303,-0.316,0.646,0.07691447179838719,0.013555608756740634,0.347,0.0763149482885211,-0.317,0.6639999999999999,0.07750922620324599,0.018199554156626038,0.354,0.07656390953524728,-0.315,0.669,0.0786969503961136,-5.9804237081923665e-05,0.01,0.002229608968521521,-0.005,0.015,0.002230402133901929,37.72082548
2,1.0281508640327666,8.427,1.8649813124518229,-4.219,12.646,2.129608764163165,1.1185804827538601,14.302,3.1499549620253093,-9.826,24.128,3.3426625460495503,1.0240950459053362,7.41,1.6835546992641768,-4.692,12.102,1.9705618601415125,-0.0032302445983570724,0.399,0.08535023789724983,-0.413,0.812,0.085411147193916,-0.010850203640212613,0.35,0.08502675752811785,-0.386,0.736,0.08571606117941283,-0.012855468372489014,0.409,0.0869505033248191,-0.435,0.844,0.08789549648479109,0.03855607354057848,0.122,0.012941059231254009,-0.005,0.127,0.04066990349367985,37.72082548
3,1.7760923539754934,11.534,2.6720945249421053,-5.994,17.528,3.208513753369852,2.3478862620656815,20.826,4.816030479400877,-12.778,33.604,5.3578552865825815,1.8339880075828343,11.815,2.689691300452996,-5.611,17.426,3.2554443901175785,-0.0049068218033957904,0.433,0.09564133389811413,-0.421,0.854,0.09576690328416745,-0.00985904445299192,0.4,0.09381670458259017,-0.448,0.8480000000000001,0.09433310401869073,-0.011772510394344014,0.418,0.09803841053574888,-0.48,0.8979999999999999,0.09874248290430036,0.06657051669505651,0.18,0.019153434851260337,-0.005,0.185,0.06927110566333726,37.72082548
4,2.1049203423304808,11.788,2.9925614307317177,-6.157,17.945,3.658698214195686,2.7214464651451977,24.148,5.532474865146849,-13.915,38.063,6.165582621587361,2.02451409004462,12.852,3.121341519845284,-8.489,21.341,3.7204012744673522,-0.001283382707921879,0.443,0.0990317869583733,-0.43,0.873,0.09903987612636804,-0.004830604015799869,0.421,0.09712531452325268,-0.465,0.886,0.09724514553364,-0.0059066957428132545,0.409,0.10208823224442908,-0.435,0.844,0.10225873346995827,0.08000284361056251,0.234,0.022859672158673267,-0.005,0.23900000000000002,0.08320467058980795,37.84985103
5,2.831384114589266,12.555,2.9797637720231887,-4.288,16.843,4.110436435449185,2.3511685079978317,24.337,5.747391944545236,-22.483,46.82,6.209698625968366,1.1502546230700192,11.704,3.2946587016137827,-7.805,19.509,3.4896722202887758,0.015474976878955065,0.447,0.08367228542708637,-0.383,0.8300000000000001,0.08509109449354693,0.021317475865273786,0.399,0.08134976423112508,-0.334,0.7330000000000001,0.08409630650602812,0.028552208002842864,0.395,0.0875165066507277,-0.451,0.8460000000000001,0.09205613843810793,0.08919642181897701,0.241,0.02468803750294988,-0.005,0.246,0.09254997614400706,38.17266456
6,2.9306678486241466,14.291,2.9870730915445947,-4.167,18.458,4.184659952974359,2.332707895049487,26.583,5.896997979690059,-15.591,42.174,6.341604875447298,1.1921905632271095,12.352,3.4817896416913596,-7.671,20.023,3.6802339672312656,-0.004698418065671751,0.435,0.08319939709460203,-0.38,0.815,0.08333176572615716,-0.015314577374043847,0.354,0.0810152151650365,-0.375,0.729,0.0824498112619597,-0.018278556610584612,0.382,0.08699822065366641,-0.418,0.8,0.0888974771527321,0.09528322656114344,0.254,0.028012561829019438,-0.005,0.259,0.09931562464428174,38.61755643
7,3.0169100152493313,13.014,3.015805695483667,-4.91,17.924,4.265769392253814,2.4431466218622444,27.215,6.012859642375331,-15.944,43.159,6.49024509748788,1.2744270954133299,13.221,3.6549641494928045,-8.402,21.622999999999998,3.8707707712966974,-0.008552222110617005,0.426,0.08340141902437316,-0.382,0.808,0.08383856773854138,-0.014361578077488519,0.363,0.08176241543441531,-0.377,0.74,0.08301395654124935,-0.01844172837927917,0.427,0.08763034559786212,-0.474,0.901,0.08954964966485111,0.10294943066120003,0.244,0.0273592751918006,-0.005,0.249,0.10652282288292363,39.17455623
8,3.0945889012705403,13.322,2.976187878371593,-4.147,17.469,4.293499074428794,2.5315786255149297,26.872,6.084958243842888,-16.295,43.167,6.590556734098229,1.3611336624619796,14.355,3.7445871866409277,-7.821,22.176000000000002,3.9842883940847833,-0.004029137475909063,0.419,0.08586825911043626,-0.404,0.823,0.08596253950013795,-0.008580333573862132,0.367,0.08427529459502997,-0.398,0.765,0.08471077243763377,-0.010350590513422422,0.419,0.0895999784597706,-0.442,0.861,0.09019564401543344,0.11154573396297075,0.276,0.03067129195697999,-0.005,0.281,0.11568567162505625,39.83415523
9,2.7109238221789407,10.615,2.87349516044876,-5.616,16.231,3.950448687454194,2.546445781323237,26.321,5.8611527675985045,-19.65,45.971000000000004,6.3904101240437985,2.0017639761728154,14.216,3.687847606957557,-7.65,21.866,4.1960954587155745,0.008268829437221558,0.413,0.0805167651420602,-0.372,0.7849999999999999,0.08094006120329261,0.010666633295259591,0.356,0.07717221958142008,-0.366,0.722,0.07790572148032172,0.014353257580239273,0.359,0.08374797554186054,-0.341,0.7,0.0849688619056973,0.1150515724758702,0.286,0.03236778155374247,-0.005,0.291,0.11951791850718675,40.58729178
10,2.689304597858657,10.99,2.8618032135423936,-6.076,17.066,3.9271159193385423,2.525279571365928,25.764,5.897866506258069,-16.249,42.013,6.415739033979243,1.9951421426222322,14.509,3.7312151279508736,-8.133,22.642,4.231133997971154,-0.0033245678944675877,0.359,0.0787304277986704,-0.403,0.762,0.07880041053303848,-0.01098633340641672,0.316,0.07560961761900363,-0.342,0.658,0.07640345336075523,-0.013223895527296647,0.361,0.08202598790464263,-0.346,0.707,0.08308491663283306,0.11726233738946139,0.302,0.03307223445975351,-0.005,0.307,0.12183687235875022,41.42533708
